,predicted,case_number,category
261,"информационные видеоматериалы, размещенные в информационно-телекоммуникационной сети «интернет» на страницах сайтов: - http://www.youtube.com/watch?v=oiq5iitl41s - «тимур муцураев» – оппозиционер.wmv», - http://kivvi.kz/watch/da7oedm0q8gs/ – «посвящается предателям чечни», - http://www.youtube.com/watch?v=9rq9pk6dgew – «тимур муцураев» (",2,
262,"книга «личность мусульманина, в том виде, который стремится придать ей ислам с помощью корана и сунны». 4-е издание (",2,
263,"акустическое сопровождение и комментарий пользователя видеофайла под названием «русский, очнись! против тебя идет война!»",2,
264,"информационные материалы, распространенные мишуровым в.г. в сети интернет, «обращение к русскому народу», «после этот цирк жидовского абсурда названный ими выборы резидента в россии…», «наивность русского народа: бей чурок, пока другие руководят процессом!», «думай, русский, думай», «неужели допустим?», «не страшись», «доколе!», «что делать?», «знай и помни!», «за меч!», «обращение ко всем вам.», «вернем власть русским – вернем россию русским», «пришло время платить за выборы», «верь», «6 мая в москве прошел марш миллионов (вкратце)», «жиды на руси», «что происходит в россии» (",2,
265,"книга «жизнь после смерти» (мухаммад хусайнию, махачкала, 2009 г., 80 с., издательство «нур-ул ислам») (",2,
266,"видеофайл «ответ критикам шейх саид абу саад (рахимухуллах)», размещенный в социальной сети « » международной телекоммуникационной сети интернет на электронной странице под именем «алия микаилова» (электронный адрес http://vk.com/id 103173546) и в группе «ахли сунна валь-джамаат» (электронный адрес http://vk.com/ club 28725576) (",2,
267,"информационный материал - видеофайл «slava rossii !!!.flv», содержащий музыкальное произведение «я русский» исполнителя «голос свободы», сопровождающееся видеорядом и текстом, продолжительностью 4 мин. 23 сек. по адресу: http://vk.com/video202437115_165965610?hash=80f978ea2e69b234 https ://www.youtube.com/watch? v=jg6t6tcn5uu (",2,
268,"книга «шейх ислама ахмад ибнабд аль - халим ибн таймийя» «прекрасное пояснение к книге» «различие между угодниками всемилостивого и угодниками сатаны» «комментарии шейха салиха ибнабд аль - азиза аль аш - шейх», издательский дом hikma, 398 с, за исключением сур, аятов и цитат из корана (",2,
269,"видеофайл формата mp4 «русский очнись..mp4», размещенный в сети интернет на электронной странице http://vkontakte.ru/id4595303 (",2,
270,"видеофайл «нашид - мы муджахеды, войско аллаха.mp4»",2,
271,информационные материалы – аудио-записи: файлы: «бухенвальд флава - убей иммигранта п.у. ленина пакет» - «buhenval'd flava - ubej immigranta p.u. lenina paket»; «крэк - о1. вечный рай» - «krek - o1. vechnyj raj»; «железный порядок - 88» - «zheleznyj poryadok-88» «zheleznyj poryadok - 88» (,2,
272,"креолизованный текст, визуальные и вербальные компоненты которого выполнены черным цветом на светлом фоне. визуальным компонентом является изображение плывущего мужчины и кита с открытой пастью, плывущего за ним. вербальным компонентом является стихотворение: «кит и жид огромный кит, купаясь в океане, случайно проглотил тонувшего жида. за жизнь свою он проглотил не мало всякой дряни. но всех переварил без боли и следа. но вот, представьте, кроме шуток, владыка моря занемог – переварить жида в желудке при всем желании не смог. собрав все силы, понатужась, он отрыгнул назад жида но отвращение и ужас к жидам остались навсегда того, что сделал мудрый кит россия сделать не решилась и мира оттого лишилась, что в ней сидит пархатый жид» (",2,
273,"книга из собраний сочинений саида нурси «рисале-и нур» «вера и человек», 2000 год издания, перевод м.г. тамимдарова (",2,
274,"книга из собрания сочинения «рисале-и нур» «сияния» бадиуззаман саид нурси на русском языке, 2012 года издания, перевод с турецкого тахира алимова, стамбул, на 573 страницах",2,
275,"видеофайл «гелаевский спецназ», расположенный на компакт-диске «sony» формата cd-r с надписью «наров» (",2,
276,книга шейха али аль-тантауи «общее представление об исламе» (,2,
277,"аудиозапись «нашиды про джихад-без музыки», продолжительностью 02 минуты 43 секунды, начинающаяся словами «моя мама не печалься..., ...одари ее терпеньем, сердце светом озари» (",2,
278,"книга ф.байрамовой «тропою знаний к истине», на 149 страницах, 2007 года издания, издательская группа «сад» (",2,
279,книга марцинкевича м.с. «реструкт! книга максима тесака» 2012 – 511с. (,2,
280,"видеофайл «вот что значит свое мнение.девочка скинхэд.» продолжительностью 00 минут 10 секунд, начинающийся со слов: «я ненавижу», заканчивающийся словами: «она должна иметь чувство собственного достоинства и гордость» (",2,
281,"книга омер челика, мустафы озтурка, мурата кая «лучший пример-2 в призыве и воспитании. самый прекрасный человек – да благословит его аллах и приветствует», на 432 страницах, 2007 года издания, перевод с турецкого ергазиева а., издательская группа «новый сад» (",2,
282,"персональная страница с электронным адресом: vk.com/id71883802, созданная в социальной сети « » пользователем <фио>10 под именем «леон астраханский» (",2,
283,книга «геббельс йозеф. дневники 1945 года. последние записи» (,2,
284,"видеофайл формата mp4 «русский скинхед против толпы хачей..mp4», размещенный в сети интернет на электронной странице http://vkontakte.ru/id4595303 (",2,
285,"информационный материал, представляющий собой комбинацию текста: «осторожно! разносчики толерантности» и рисунка, на котором изображены два бегущих получеловека с задней частью животного, на котором нарисован символ «звезда давида», один из них в руках держит портфель, а на голове другого надета маленькая шапочка – ермолка (",2,
286,"информационный материал «невинность мусульман» («невинность ислама»), размещенный в сети интернет по адресу: www.youtube.com/watch?v=uibcdzfsas8 (",2,
287,"информационный материал - видеоролик «за что мир ненавидит жидов?», размещенный в сети интернет (",2,
288,аудиозапись «коловрат - расовая верность 4:59» (,2,
289,информационный материал под названием «воззвание приморских партизан» (,2,
290,"информационный материал - видеозапись «письмо двух сестер халиду ар-рашиду» («послание сестер к шейху халиду ар-рашиду»), продолжительностью около 7 минут 30 секунд, начинающаяся словами: «с именем аллах милостивого, милосердного...» и заканчивающаяся словами: «я отдал себя на пути аллаха!», распространенная в сети интернет (",2,
291,"материалы, расположенные в сети интернет сайта « » на странице http://vk.com/club45276843: содержащиеся в аудиофайлах: «хорсс-россия принадлежит нам.мр.3», «хорсс-россия для русских.мр.3» ; «хорсс-ненависть мр.3», «хор сс – арийская честь.мр.3», «хорсс- white power.мр.3», «хорсс-hammtrskins.мр3», -в графических изображениях: №№ 64, 70, 9, 11, 25, 29, 32-36, 40, 41, 43, 45, 46, 52, 53, 55, 65, 72, 80, 83, 84, 86, 87,91,44,67,75 (",2,
292,"печатное издание – книга «мертвая вода» концепция общественной безопасности. китеж. державный град россии. 2004, в двух частях – часть 1. историко-философский очерк (457 стр.) и часть 2 вписание (458 с.) (",2,
293,"видеофонограммы, размещенные на интернет странице под именем «павел корнилов» на сайте социальной сети « » по ссылке http://vk.com/borec999: «призыв «русского ss»; «формат 18 (как можно сделать дох. (сокращенно - ненормативная лексика) трупов» (",2,
294,информационный материал – размещенная в сети «интернет» по адресу: http://m.youtube.com/watch?v=г50k695gris (оператор ростелеком) видеозапись продолжительностью 6 минут 44 секунд с названием «халифат-грядущая мощь. призыв к джихаду» (,2,
295,"информационный материал (статья) под названием «йемен. моджахеды обсуждают с племенем лахиджа освобождение провинциальной столицы. солдаты салиха грозят перейти на сторону акап», который опубликован для свободного доступа на интернет-странице: http://www/shamilonline.org/ru/2009-08-18-08-08-27/9787-2012-03-25-17-01-09.html (",2,
296,"видеофильм «как отличить еврея от славянина, тихомиров м.в. мы и они. mp4», размещенный в сети интернет по адресу: http://vk.com/video26939759 163595146 (",2,
297,"информационный материал – электронная страница под именем «аматуллах замужем му`мина-иншааллаха» (электронный адрес http://vk.com/id82573615), текст начинающийся фразой «вставай, страна ислам, вставай на смертный бой» и оканчивающийся фразой «гнилой кремлевской нечисти загоним пулю в лоб, русизму с демократией», аудио и видео файлы: «1с2с96f47344. мусульмане латвии (нашид на русском) призыв.mp3»",2,
298,"графические материалы с текстом «бей жидов – не станет чурок», «е…ть кавказ е…ть», «е…шь кавказцев» (ненормативная лексика), обнаруженные 25 сентября 2012 года в социальной сети « » http://vk.com/, информационно-телекоммуникационной сети интернет на странице группы «славянский север» по электронному адресу http://vk.com/prav19951488 (",2,
299,"печатное издание формата а-3 в черно-белом исполнении с названием «я - русский! а - ты?», (изданное при участии среднероссийского бюро «тривинс» г. тула, ул. л. толстого, д.24, тиражом 999 экземпляров) (",2,
300,"журнал «сторожевая башня возвещает царство иеговы» «кто действительно верит библии?» от 15.10.1998 изд. watch tower bible und traktat - gesellschaft deutscher zwelg, v., selters/taunus (",2,свидетели иеговы
301,"информационный материал - стихотворение евгения скворешнева под заголовком «будь русским!», опубликованное редактором газеты соломаха б.и. в газете «вести славян юга россии» №2 (193) за 2007 год (",2,
302,"издания «добрая весть от бога» от 2012 года, «что нужно знать о боге и его замысле?» от января 2013 года (",2,
303,"информационные материалы - брошюра «очищение и воспитание и потребность мусульман в этом» автора мухаммада насыруддина аль-альбани, первое издание, перевод с арабского и примечания к тексту подготовлены редакцией сайта http://www.toislam.com/ (",2,
304,"печатные издания: книга «ислам: идеи, движения, перемены», издательство пк «сантлада», москва, 1992, на 64 листах; книга «истории праведных халифов», издательство пк «сантлада» при участии издательства «странник» и мп «фирма странник», москва, 1992, на 144 листах (",2,
305,"информационный материал: аудиофайл «гураба (странники, чуждые саид абу (аби) саад бурятский (аль буряти) islamclub.ru)» длительностью 24 мин. 58 сек. («….(иностранный язык) ислам пришел чуждым … оно очень болезненное наказание, (иностранная речь)») (",2,
306,"изображение трех бритоголовых мужчин, одетых в массивные черные ботинки, светлые брюки, расположенные по кругу, спиной друг к другу и надписью: «вместе мы сила!» … да здравствует наш народ» (",2,
307,"видеофайлы под названиями: «правда о ваххабитах.3gp», «сильнейший дауат из всех mp4», «муджахид на пути аллаха, это то кто mp4», «умар ибн аль-хаттаб (р.а.) umar ibn al-khattab (r.a.) 2-2.mp4», «яджудж и маджудж.mp4», «альбани о джихаде (смотреть до конца).flv.3gp» (",2,
308,"видеофайлы «слава россии», «слава руси. от сердца к солнцу», размещенные в социальной сети « » в сети интернет, имеющие сетевой адрес www.vk.com/id91056813 (",2,
309,"печатное издание «усуль аль-иман. постулаты мусульманской веры», ооо «издатель эжаев а.к.», подписано в печать 08.06.2011 г. (",2,
310,"видеофайлы «с моей стены» под музыку россия для русских – «зига зага, ой. picrolla»; «правая молодежь симбирска ч.3»; «правая молодежь симбирска»; «n.n.f. blood and honour»; «spirit of 95 studio – русские бунты»; «выкинуть чурок! предвыборная агитация», размещенные в сети «интернет» на сайте «vkontakte.ru» на странице http://vk.com/id22145555 (",2,
311,"аудиозапись «ультра-штурмовик.mp3» продолжительностью 2 мин. 50 сек., начинающаяся со слов «зиг-хайль! тяжелые ботинки, на шее кельтский крест» и заканчивающаяся словами «шагает гордо штурмовик! зиг-хайль» (",2,
312,"книга «абдуллах салих аль-убуйлян. ясное разъяснение пути праведных предшественников. с комментариями уважаемого шейха салиха ибн фаузана ибн абдиллях аль-фаузана.- аль – ислам», отпечатанная в типографии пик «идел-пресс», филиал ао «татмедиа» - 252с, за исключением сур, аятов и цитат корана (",2,
313,"плакат с надписями, представляющий собой комбинированный текст: «запомни! при конфликте с бешеными собаками (изображена собака с оскалившейся пастью) и чурками (изображен мужчина неславянской внешности с пистолетом в руке) сначала «аргументы» пистолет, нож, кастет, газовый баллончик (перечисленные предметы изображены на плакате), все остальное после или ты думаешь что на животных действуют слова?»; фото с изображением сцены разделывания лицами неславянской внешности овечьих туш посреди улицы и надписью «хачи это расса отбросов отсталых недоносков и сволочей, смерть чуркам и их е...му аллаху»; плакат с надписями, представляющий собой изображение на фоне надписи рынок бритоголового мужчины в черной короткой куртке, светлых брюках джинсах, пинающего ногой обутой в черный ботинок на шнуровке с высоким носком уродливое существо, из когтистой лапы которого выпадает нож и текстом чурки как животные ничего не понимают, кроме п..лей; рифмованный текст из 29 строк начинающийся словами «в годы братской войны вы на бой поднимались ...» и заканчивающиеся словами «праведного возмездия близится час!»; текст с названием «концепция русского национал-социализма» начинающийся словами «наиболее обещающим движением русской жизни является теперь национальное» и заканчивается словами «наиболее обещающим движением русской жизни является теперь национальное» и заканчивающийся словами «существование нашим народам и будущее белым детям, как завещал нам дэвид лейн» находящиеся в информационно-телекоммуникационной сети интернет « » (",2,
314,"аудиозапись «коловрат – белый легион.mp3», продолжительностью 4 мин. 52 сек., объемом 4672170 байт, которая начинается словами «мы – это белый легион» и оканчивается словами «вперед идет наш легион» (",2,
315,"публикация под названием «88 заповедей дэвида лэйна», размещенная в социальной сети « » (http://vk.com/) информационно-телекоммуникационной сети интернет на странице группы «rahowa» по адресу: «https://vk.com./racialholywar88» (",2,
316,музыкальное произведение «славянский дух» группы «коловрат» (,2,
317,"книга профессора муххамада али аль-хашими «личность мусульманина, в том виде, который стремится придать ей ислам с помощью корана и сунны», 4-е издание, перевод на русский язык: кандидат философских наук в.а. нирша, 414с. (",2,
318,видеофайл «2517 - нам некуда деваться сестры и братья. mp4» (,2,
319,"текст аудиоматериала, содержащийся в аудиофайле «чикисты? - а мы береты!» (",2,
320,"видеоматериал «правда о гитлере и iii м рейхе факты, которые тщательно скрываются жидами 1» продолжительностью 24 минуты 57 секунд, начинающийся со слов: «есть факты, без которых невозможно узнать действительные, поистине сатанинские цели не только гитлера, но и тех, кто планомерно создал гитлера и третий рейх, тех, кто ведет мир к временам антихриста.» и заканчивающегося словами: «этот день далеко не случайно был выбран им для самоубийства. так, по крайней мере, считает американский автор и оккультист бремен: «посвященный в мистерии зла остался до конца верным своей мрачной вере, даже его самоубийство явилось жертвенным приношением силам тьмы.», размещенный в сети интернет (",2,
321,"видеоролик «казнь пяти оккупантов нс-бойцами.flx», размещенный в сети интернет по адресу: http://vkontakte.ru/id33560673 на персональной странице новикова александра михайловича (",2,
322,"видеоматериал «история и причины возникновения хизб ут тахрир», студии видеозаписи «хт медиа россия», размещенный в сети «интернет», на «стене» открытой группы «мусульмане челябинска» (http://www.vk.com/club7923080) (",2,
323,текст «план даллеса по уничтожению ссср (россии)» (,2,
324,"текстовый документ под названием: «имам шамиль и его «мусульманская империя», изготовленный евстратовым а.г. (",2,
325,"тексты музыкальных композиций «триеднiсть/триединство/трыадзiнства (triune)», «не нужна такая защита (don't need such prjtecnion)», «вместе и до конца! (together until the end!)», содержащиеся на компакт-диске с надписью «last page трезвость х ненависть»; текст музыкальной композиции «очнись», содержащейся на компакт-диске с надписью «shot on sight правосудия нет»; тексты музыкальных композиций «убей врага внутри себя», « ярость», «н.н.н.», содержащиеся на компакт-диске с надписью «ragnarock зверь войны» (",2,
326,"видеоролики под названием «белый владимир» и «белый владимир часть вторая», распространяемые в социальной сети « » страницы пользователей «юрий еременко» (http://vk/com/id07457828) и «антон spirit88» (http://vk.com/id145991795) (заочное",2,
327,"статья под названием «обращение к сибирякам и россиянам», начинающаяся словами «дорогие земляки-сибиряки и соотечественники россияне!», и заканчивающаяся словами «во славу рода и руси! азарий», размещенная на интернет-странице http://azariypb.livejournal.com/2243.html (",2,
328,"брошюра ""язычество как волшебство"", автор - а.а. добровольский, источник публикации - когуп ""котельничская типография"",",2,
329,видеоролик «россия 88 (бабулька) (,2,
330,"видеоролик «россия для русских», размером 4,66 мб, продолжительностью 01 мин. 52 сек., видеоролик «хорсс – россия для русских», размером 8,65 мб, продолжительностью 03 мин. 16 сек., видеоролик «россия для русских», размером 6,45 мб, продолжительностью 02 мин. 23 сек., видеоролик «а ну-ка, давай-ка», размером 499 кб, продолжительностью 00 мин. 08 сек. (",2,
331,"аудиофайл – «русский стяг – я не хочу быть толерантным (short).mp3», продолжительностью 3 мин. 25 сек. и размером 5,49 мб. (5 764 283 байта) (",2,
332,видеоматериал «адольф гитлер.альбом № 2» под музыку коловрат» размещенный в сети интернет на сайте http://vk.com/videos169482104?q=адольф %20гитлер.%20альбом%20№&section=s earch (,2,
333,"аудиоматериал «w.c.d. - все зигуют локтями», длительностью 02 минуты 57 секунд, начинающийся словами: «где бы я не был ты знаешь, все зигуют..» и заканчивающийся словами: «...все зигуют локтями», размещенный пользователем «владислав михайлов» на официальном интернет-сайте на веб-сервисе «vk.com» и расположенный по адресу http://cs5-2v4.vk.me/p26/4ca776f25d0d93.mp3 (",2,
334,"видеоролик группы «ансамбль христа спасителя и мать сыра земля» «синагога», размещенный в сети интернет на сайте «http://vk.com», общей продолжительностью 1:59 минут (",2,
335,"текст аудиоматериала, содержащийся в аудиофайле «дэвид лэйн - письме мертвой рассе!!! 14/88» (",2,
336,"видеоролик «_покарай их сурово, дабы рассеять тех, кто позади них_часть 2. аэропорт табка. русские субтитры.mp4», размещенный в социальной сети «b контакте» на персональной странице пользователя «abu-huraira al-horasan» по электронному адресу «http://vk.com/id278210497» (",2,
337,"видеоматериал (видеофильм) «пламя войны» ( flames of war) организации «исламское государство», размещенный в сети интернет по адресу: https://vk. com/ video250927415_170459486 (",2,
338,видеоролик (видеоматериал) с названием: «вся правда о жидах. смотреть обязательно!!!» (,2,
339,видеозаписи: «что ожидаешь ты от дальнейшего будущего нашей страны?» длительностью 3 минуты 41 секунда; «воспитательное видео» длительностью 4 минуты 46 секунд; «оранжевое солнце 88» длительностью три минуты 59 секунд (,2,
340,"текстовая часть аудиозаписи «хук справа - нас не сломить», длительностью 02 минуты 33 секунды, начинающаяся словами: «твой ли это дом, ты ли в нем хозяин? это твоя жизнь? выбор без окраин?...» и заканчивающаяся словами: «...готовы драться за любовь и за нацию свою! нас не сломить!», размещенная в сети интернет (",2,
341,"видео-файлы (видеоролики): видеозапись длительностью 2 минуты 23 секунды под названием «formal 18.надписи скинхедов»; видеозапись длительностью 2 минуты 33 секунды под названием «formal 18. скинхеды. слава россии. оставайтесь белыми!!!»; видеозапись длительностью 0 минут 21 секунда под названием «скинхед подловил хача в метро!»; видеозапись длительностью 2 минуты 01 секунды под названием «скинхеды п..дят хачей», которые распространяются путем размещения на различных открытых для свободного доступа адресах сети интернет (",2,
342,«кто-то болен толерантностью я здоров национализмом!»,2,
343,"текст песни (стихотворение) «жиды хлебушка не сеют», в качестве автора которого указан александр харчиков (",2,
344,"текстовая часть графического материала «граждане россии будьте бдительны! падает рейтинг - ждите террактов!», размещенного по электронному адресу: http://censoru.net/17801-zachem-putinu-ponadobilis-terakty-v-pitere.html (",2,
345,"видеоматериалы «ргд 88-я ненавижу», «бритоголовые идут» и аудиозаписи «голова босиком - так и живём», «14-88-националист», «хук справа - образ руси» (",2,
346,"текст музыкальной композиции группы «коловрат» - «наши ultras», размещенный в социальной сети « » (",2,
347,"видеоматериалы «скинхеды» http://vk.com/video15552370_169382013, «ns/wp russia for russians!россия для русских 14/88» http://vk.com/video15552370_1663894338, «обращение бойца славянского союза к русской нации» http://vk.com/video15552370_169390999, размещенные на интернет-ресурсе в социальной сети « » (",2,
348,"видеоматериал «просыпайтесь, пока не поздно» размещенный в социальной сети « » информационно-телекоммуникационной сети интернет на персональной странице пользователя под именем «yurii vasilevich» по адресу: http://vk.com/id25968934 (",2,
349,"брошюра д-ра шерифа абдул-азым «женщина в исламе и в иудейско-христианском мире (между мифами и реальностью)» издательство «engineering house press», учрежденное «conveying islamic message society», 128 страниц (",2,
350,"аудиозапись – музыкальная композиция «брунсвиг - это rahowa» продолжительностью 02 мин 16 сек., начинающаяся со слов «нас ждет последний, смертельный бой» и заканчивающаяся словами «думай, действуй, старайся быть умней», имеющая припев с текстом «мы победим, мы за ценой не постоим / это rahowa, мы родину не отдадим / нечего терять, кроме родной земли / хочу увидеть белой расы восхода лучи» (",2,
351,"видеозапись «новые «протоколы сионских мудрецов» (ульям пирс)», продолжительностью 17 минут 28 секунд, начинающаяся со слов «вы задавались вопросом почему евреи» и заканчивающаяся словами «да здравствует мощь торжествующего сиона!» (",2,
352,"брошюра «что от нас требует бог?» watch tower bible and tract society of new york, inc brooklyn, new york, u.s.a.2003 (",2,
353,"брошюра «сорок хадисов ан-навави», русский перевод под руководством доктора технических, наук а.м. хамди (",2,
354,"видеоматериал «maddyson об исламе, коране и мусульманах», начинающийся со слов мужчины сидящим за компьютером «это из наиболее распространенных, ну, христианство...» и заканчивающийся словами того же мужчины «...потому что так в коране написано», общей продолжительностью 6 минут 08 секунд (",2,
355,"текстовая часть аудиозаписи «хорсс - вне закона», длительностью 02 минуты 42 секунды, начинающаяся словами: «полиция норовит накинуть свой колпак и часто становится твой самый злейший враг...» и заканчивающаяся словами: «...но никто в силах твою волю сломать. вне закона, вне закона. ты объявлен вне закона», размещенная в сообществе «группа хорсс» на интернет-сайте «vk.com» (",2,
356,"аудиофайл с названием «аль каида - послание воинов» длительностью 1 мин. 19 сек., содержащий текст на русском языке, начинающийся со слов: «вы думаете, что весь мир должен подчиниться вам», заканчивающийся словами: «мы вас победим!», изъятый в сети «интернет» на странице пользователя иванова а.в. по адресу: http://vk.com/id241662027 (",2,
357,"аудиофайл под названием «timur_mucaraev-prodazha_(www.palbu.ru).mp3», начинающийся со слов «в трудный час для чечни вы все продали нас…..»; аудиофайл под названием «wap.ka4ka.ru_timur_mucuraev_-_1996 gelaevskij_specnaz_(2_versiya)_-_10_-_shamil_vedet_otryad.mp3», начинающийся со слов «горят дома, за залпом залп…..» (",2,
358,"видеоролик под названием: «адольф гитлер, человек, который пошел против банка», продолжительностью 6 минут 13 секунд, размер 95,3 мб, сопровождающийся субтитрами на русском языке, начинающимися со слов: «да, германия была демократией, до нас…» и заканчивающимися словами: «сделайте правду эпидемией» (",2,
359,"аудиофайл «трезвый заряд - решайся (на стихи а. воеводина)» продолжительностью 2 мин. 54 сек., начинающийся словами «как любим мы поболтать - о революции, о битвах...» и заканчивающимся словами «...и, девушки, хватит химер - вам путь указан ковалевой» (",2,
360,"аудиофайл «моя толерантность» размером 4,84 мб (5 076 200 байт), содержащий аудиозапись общей длительностью 05 минут 17 секунд, размещенный на интернет-сайте «кровь-рейха», имеющий электронный адрес www.reichblood.narod.ru (",2,
361,"видеоролик под названиями «нацист» и «русский проснись», начинающийся с заставки с изображением белого креста на красном фоне и надписи, выполненной белыми буквами на красном фоне «славянский союз», содержащий титры: «ss tv», видеозапись монолога лица мужского пола, начинающийся словами «русский проснись» и заканчивающийся: «слава россии», размещенный в сети интернет (",2,
362,"видеоролик под названиями «нейтрализация таджика-педофила (спб)» и «нейтрализация таджика-педофила (с-пб)», начинающийся с изображения (фотографии) мужчины, содержащий серию изображений страниц переписки мужчины, обозначенного как «ильяс рахманов», с лицом, обозначенным как «настя», титры: высказывание «русь земля великая! встань и пробудись! ©», разговор лица мужского пола и группы лиц мужского пола, а также сопровождающийся песней, и заканчивающийся титрами: высказыванием «так будет с каждым!», выполненным белыми буквами на черном фоне, размещенный в сети интернет (",2,
363,фильм «тоска по сталину» из цикла «вождь советского союза» (,2,
364,аудиофайл «киборг – ненависть»,2,
365,"видеозапись с названием «уильям пирс - евреи и талмуд», начинающаяся со слов: «я, уильям пирс председатель национального альянса. в основе поведения и мировоззрения религозных евреев лежат несколько догм» и заканчивающаяся словами: «наши злейшие враги это политик неевреи, ведь если бы не их сознательное добровольное пособничество, евреи не представляли бы для нас никакой угрозы. подумайте над этим» (",2,
366,"видеоролик: «ф.волков – хоронят скина.mр.4» (он же «фёдор волков - хоронят скина», «смерть скина»), продолжительностью 02 минуты 05 секунд, начинающийся со слов «везут, хоронят, плачут мать, отец...» и заканчивающийся словами «твой черед... пришел отомстить», размещенный в информационно- телекоммуникационной сети «интернет» по адресам url http://vk.com/id-igor_akimov, https: www.youtube.com/watch?v= 1a2cp06np1м, https://vk.com/videosl29495677?z=video129495677_165685851%2fpl_129495677_-2 (",2,
