,material
3612,"аудиоматериал «p.s.7.62 - апартеид», длительностью 02 минуты 36 секунд, начинающийся словами: «сколько можно смотреть и не замечать..» и заканчивающийся словами: «...это наша страна и мы в силах ее уберечь!», размешенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» ("
3613,"аудиоматериал «р.s.7.62 - социум», длительностью 02 минуты 25 секунд, начинающийся словами: «можешь быть толерантным, но помни...» и заканчивающийся словами: «...не скалят свои черные пасти», размещенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» ("
3614,"аудиоматериал «p.s.7.62 - один за всех», длительностью 02 минуты 57 секунд, начинающийся словами: «продажные политики за стенами..» и заканчивающийся словами: «...вперед и все за одного!», размещенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» ("
3615,"аудиоматериал «p.s.7.62 - бритоголовый», длительностью 02 минуты 45 секунд, начинающийся словами: «ты считаешь себя бритоголовым...» и заканчивающийся словами: «...в правых правильных руках», размещенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» ("
3616,"аудиоматериал «p.s.7.62 - фашизм не пройдет (акустика)», длительностью 02 минуты 56 секунд, начинающийся словами: «как можно жить не замечая, что творят в твоей стране ...» и заканчивающийся словами: «...фашизм не пройдет, (нецензурное слово)», размещенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» ("
3617,"аудиоматериал «p.s.7.62 - белые воины», длительностью 03 минуты 39 секунд, начинающийся словами: «мы белые войны солдаты россии...» и заканчивающийся словами: «...что скоро схватит, схватит по (нецензурное слово)», размещенный пользователем «николай левков» на интернет-сайте на веб сервисе сайта «vk.com» ("
3618,"аудиоматериал «w.c.d. - все зигуют локтями», длительностью 02 минуты 57 секунд, начинающийся словами: «где бы я не был ты знаешь, все зигуют..» и заканчивающийся словами: «...все зигуют локтями», размещенный пользователем «владислав михайлов» на официальном интернет-сайте на веб-сервисе «vk.com» и расположенный по адресу http://cs5-2v4.vk.me/p26/4ca776f25d0d93.mp3 ("
3619,"изображение молодой девушки, рядом фото зверски убитой девушки и изображение с рыцарями крестного похода, а также текста «это - молодая жительница алеппо из христианской семьи, которой не повезло оказаться в зоне, освобожденной повстанцами», размещенное в социальной сети « » по адресу: https://m.vk.com/rusnazi ("
3620,"книга «комментарии к трем основам» м. с. аль-усаймин; перевод с арабского, под редакцией а.у.с. аль-газзи, второе русское издание свет-ислама; каир, 2014, 227 стр. ("
3621,"материалы, расположенные по ссылке https://vk.com/club69588938?w=wall-69588938_148%2fall ("
3622,"материалы, расположенные по ссылке https://vk.com/club69588938?w=wall-69588938_151%2fall ("
3623,"видеозапись «правда о скинхедах – всем кто сомневается смотреть!», продолжительностью 07 мин.42 сек., размещенная на странице http://vk/com/jd31189746 социальной сети « » сети интернет ("
3624,"видеоролик «акыда исламского государства со слов абу умара аль-багдадий-mp4-360p», размещенный в сети интернет в социальной сети « » на интернет-странице по электронному адресу:.www.vk.com/319062955 ("
3625,"аудио и видеофайлы под наименованием «речь максима базылева – россия будет русской или безлюдной, попробуйте ее отнять у меня!» информацию интернет-сайта в сети «интернет» на странице с url-адресу: видеозапись: https://vk.com/video260059_170761832;https://vk.com/search?c%5bq%5d=%d1%80%d0%b5%d1%87%d1%8c%20%d0%bc%d0%b0%d0%ba%d1%81%d0%b8%d0%bc%d0%b0%20%d0%b1%d0%b0%d0%b7%d1%8b%d0%bb%d0%b5%d0% b2%d0%b0&c%5bsection%5d=video&z=videol52613099_170999633; https://www.youtube.com/watch?v=7arrcwss8p4 ("
3626,видеофайл «максим базылев – скромный герой» размещенный в сети интернет по следующим электронным адресам: https://www.youtube.com/watch?v=fsqq5umgvtc; https://www.youtube.com/watch?v=_noua6y52fk; http://fans-edge.info/dokumentalnyj-film-maksim-bazylev-skromnyj-geroj/; http://penza-city-com.livejournal.com/510042.html (
3627,"информационный материал – статья «призыв к сестре, которая взывает мусульман к помощи и всем сестрам и всем мусульманам в чечне», размещенный 19.09.2014 года в общедоступной социальной сети «одноклассники» на странице http://www.odnoklassniki.ru/profile/560911816303, зарегистрированной под названием (ником) «по законам шариата» ("
3628,материал (книга) «исламское государство» автор такийюддин набханий (
3629,"материал (книга) «радикализм, экстремизм и исламизм» реалии и мифы в «войне с терроризмом», издательство «хизб-ут-тахрир» ("
3630,"материал (книга) «вероубеждение четырех имамов. заблудшие течения и секты в исламе», автор мухаммад бин абдуррахман аль-хумеййис, в том числе «вероубеждение четырех имамов: абу ханифы, малика, аш-шафии и ахмада», «заблудшие секты и течения в исламе» ("
3631,"материал (книга) «система ислама», автор такийю-д-дин-набханий ("
3632,"видеоролик «революция 1917», размещенный на интернет-странице id70272149 интернет-сайта www.vkontakte.ru ("
3633,"видеоролик «слава россии! или страшные русские скинхеды!», размещенный на интернет-странице id96615872 интернет-сайта www.vkontakte.ru ("
3634,"видеоролик под названием «единство муджахидов кавказа», расположенный в глобальной телекоммуникационной сети «интернет» по электронному адресу http://vk.com/zurav?z=video296575480 1711947336%2fvideos 296575480 в социальной сети « » ("
3635,видео «нашид-зов к исламской умме» (видео vk.com/video305749532_171687871) (
3636,"материал, размещенный в сети «интернет» на сайте социальной сети « » на странице под псевдонимом «екатерина вологженинова» (адрес http://vk.com/id179152792), – иллюстрация, на которой изображен мужчина, имеющий очевидное визуальное сходство с президентом россии в.в. путиным, держащим нож в руке, которую удерживает другая рука, и текст «останова заразу» ("
3637,"материал, размещенный в сети «интернет» на сайте социальной сети « » на странице под псевдонимом «екатерина вологженинова» адрес http://vk.com/id179152792), – иллюстрация, на которой изображена девушка с висящим через плечо автоматом и гранатой в руке, и текст «я бандерiвка я украiнка! смерть московскiм окупантам» ("
3638,"материал, размещенный в сети «интернет» на сайте социальной сети « » на странице под псевдонимом «екатерина вологженинова» (адрес http://vk.com/id179152792), – текст, начинающийся со слов «россияне отравлены и больны. а украинцы были, есть и будут свободными...» и заканчивающийся словами: «...это украина!!! была, есть и будет - свободной украиной!!! удачи и свободы» владимир ш..е..р. журналист. москва», взятый из группы «дмитро ярош - украiна понад усе!» ("
3639,"материал, размещенный в сети «интернет» на сайте социальной сети « » на странице под псевдонимом «екатерина вологженинова» (адрес http://vk.com/id179152792), – текст, начинающийся со слов «открытое обращение к т.н. добровольцам из россии, воюющим за днр и считающим себя русскими националистами (всяким там александрам жучковским), от узника совести, пожелавшего остаться неназванным...» и заканчивающийся словами: «...что русский народ совсем не в том нуждается, и не поддерживали разжигание розни между русскими и украинцами», взятый из группы «украiна» ("
3640,"материал, размещенный в сети «интернет» на сайте социальной сети « » на странице под псевдонимом «екатерина вологженинова» (адрес http://vk.com/id179152792), – текст, начинающийся со слов «мой дед в сорок пятом дошел до берлина, отец мой с донбасса, и русская мать...» и заканчивающийся словами «...но русские! рус-«кацапы», взятый из группы «русский сектор (паблик нсн) ("
3641,"видеоматериал «контрреволюция – быть русским, wmv», «очнитесь славяне», размещенный в сети «интернет» на сайте социальной сети « » (адрес http://vk.com) ("
3642,"статья владимира воронова «интернационализм» по-карачаевски», расположенная по адресу: http://sovsekretno.ru/articles/id/4691 ("
3643,"книга онищука в.е. «манифест русского патриотизма» (- м.: «витязь», 2001. – 160 с.) ("
3644,"журнал «русич» № 1 «еврейская оккупация россии» (1999. - № 1.- 208 с, изд. «витязь») ("
3645,"видеоматериал (видеофильм) «пламя войны» ( flames of war) организации «исламское государство», размещенный в сети интернет по адресу: https://vk. com/ video250927415_170459486 ("
3646,"изображение лиц с надписью «россия для чурок», размещенном в сети интернет для свободного доступа неопределенного круга лиц на сайте: http://s00.yaplakal.com/pics/pics original/2/9/8/3835892/jpg ("
3647,"стихотворное произведение, озаглавленное: «прервать ритуал», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3648,"стихотворное произведение, озаглавленное: «белое дело смелое», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3649,"стихотворное произведение, озаглавленное: «опрична», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3650,"стихотворное произведение, озаглавленное: «человек человеку - волк», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3651,"стихотворное произведение, озаглавленное: «весна», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3652,"стихотворное произведение, озаглавленное: «раса», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3653,"стихотворное произведение, озаглавленное: «ветер», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3654,"стихотворное произведение, озаглавленное: «танец ветра и танец огня», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3655,"стихотворное произведение, озаглавленное: «из подполья – на волю, к свету», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3656,"стихотворное произведение, озаглавленное: «грозы», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3657,"стихотворное произведение, озаглавленное: «царь», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3658,"стихотворное произведение, озаглавленное: «небоскребы в компьютерной сетке», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3659,"стихотворное произведение, озаглавленное: «нам суждены великие стихи», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3660,"стихотворное произведение, озаглавленное: «калейдоскоп дорог и судеб», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3661,"стихотворное произведение, озаглавленное: «нужна структура, чтоб нести культуру», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3662,"стихотворное произведение, озаглавленное: «могилы не молчат», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3663,"стихотворное произведение, озаглавленное: «бытоулучшителям», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3664,"стихотворное произведение, озаглавленное: «сгорая – жги», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3665,"стихотворное произведение, озаглавленное: «земли истлевшие обноски...», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3666,"стихотворное произведение, озаглавленное: «христос воскрес!», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3667,"стихотворное произведение, озаглавленное: «как летела судьба», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3668,"стихотворное произведение, озаглавленное: «исход», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3669,"стихотворное произведение, озаглавленное: «динамит», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3670,"стихотворное произведение, озаглавленное: «наша борьба», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3671,"стихотворное произведение, озаглавленное: «в серый колокол тверди», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3672,"стихотворное произведение, озаглавленное: «нет смысла скулить о погибших», размещенное в печатном издании (сборнике) «заря близка!» автора николая боголюбова, издательства «долой зло!» 2011 года на 152 страницах ("
3673,видеоролик «правда» (
3674,"видеоролик «rgd 88 – кто, если не мы» (интернет-адрес: http://www.youtube.com/watch?v=tiybuikoj2m) ("
3675,"информационный материал - текст, размещенный в режиме свободного доступа в сети «интернет» на страницах http://vk.com/id95924425?z=photo-34179194_378420471%2fwall95924425_8857, http://chechnyatoday.com/content/view/23578 и http://nstarikov.ru/blog/14528, начинающегося словами: «я люблю кавказ, но презираю тех...» и заканчивающегося словами: «...эта грязь скоро окажется в наших городах», содержащий высказывания: в которых негативно оценивается человек или группа лиц по признакам национальности, происхождения; имеются высказывания побудительного характера, призывающие к враждебным действиям одну группу лиц по отношению к другой группе лиц, выделенных по признакам национальности, а также высказывания по смысловому пониманию возбуждающие ненависть или вражду по признакам национальности ("
3676,"информационный материал - текст, размещенный в режиме свободного доступа в сети «интернет» на страницах http://pikabu.ru/story/taras_grigorevich_shevchenko_o_quotkhokhlakhquot_2058481 и http://elemental1111.livejournal.com/31022.htm, начинающегося словами: «хохол останется хохлом...» и заканчивающегося словами: «...и тут же в суп тебе нагадит», содержащий высказывания: в которых негативно оценивается человек или группа лиц по признакам национальности, происхождения; имеются высказывания побудительного характера, призывающие к враждебным действиям одну группу лиц по отношению к другой группе лиц, выделенных по признакам национальности, а также высказывания по смысловому пониманию возбуждающие ненависть или вражду по признакам национальности ("
3677,"текстовые материалы, начинающиеся словами «мы не украина…, и заканчивающиеся словами «мы встаем на ноги и добиваем…!», размещенных в социальной сети « » в информационно-коммуникационной сети «интернет» по электронному адресу: http:// vk.com/kraru (заочное"
3678,"аудиофайл под названием «я рисую на асфальте – хватит чурок», размещенный в сети «интернет» по адресу: http://vk.com/audios105481419 ("
3679,"видеоролик:«о, наш шейх, разреши нам сражаться против сыновей нашего племени (рус) иг халифат. 30.04.2015. (3)» ("
3680,видеоролик: «обращение к мусульманам камиля абу султана. иг халифат. «03.06.2015» (
3681,видеоролик: «обращение мухаджира из иг халифат (рус). 13.06.2015» (
3682,"текст «иудейское иго над россией в 1917-1937 годах», размещенный на электронном адресе: http://vk.com/zanravsvennost?w=wall-34957800_35510 ("
3683,"текст «иудейское иго над россией в 1917-1937 годах», размещенный на электронном адресе: http:/ru-an.info/новости/иудейское-иго-над-россией-в-1917-1937-годах ("
3684,"информация, размещенная на интернет-странице по адресу: http://forum.dpni.org/showthread.php?t=40961 ("
3685,"видеоматериал «точные цитаты из талмуда о гоях (не евреях)...», имеющий размер 7,77 мб и продолжительность 03 минуты 41 секунда, размещенный амосовым м.и. на интернет-сайте www.vkontakte.ru на интернет-странице http://vk.com/id34452725 ("
3686,"информация, размещенная на сайте«demotivation. ru\hyq37s3hb451pic.htmi», а именно фотоматериал, сопровождающийся надписью: «смерть русским оккупантам» ("
3687,"графическое изображение, размещенное в социальной сети « » на интернет странице «http:// vk.com/id215600746» с ником «миша штык» на «стене», внутри которого содержится текст: «военный переворот верим, надеемся, ждем и изображение в. путина с поднятыми вверх руками, к спине которого человек в маске приставил автомат. внизу - подпись: смерть путину» ("
3688,"информационный материал – лозунг «деревянная ручка, железный конец скоро всем чурка настанет п...дец», а также созданные с его использованием изображения ("
3689,видеофайл «2517 - нам некуда деваться сестры и братья. mp4» (
3690,аудиофайл «nordwai- polit.zaklyuchennyn. mp3» (
3691,аудиозапись «аргентина» - русский бунт (defroizprod).mp3» (
3692,аудиозапись «бухенвальд флава» - бей жидов - спасай россию! (п.y. execut).mp3» (
3693,"видеоролик «_покарай их сурово, дабы рассеять тех, кто позади них_часть 2. аэропорт табка. русские субтитры.mp4», размещенный в социальной сети «b контакте» на персональной странице пользователя «abu-huraira al-horasan» по электронному адресу «http://vk.com/id278210497» ("
3694,"аудиозапись, размещенная в информационно-телекоммуникационной сети интернет на личной странице пользователя под псевдонимом «денис нетолерантный» по адресу https: //vk.com/id293452020 в разделе «аудиозаписи» (https: //vk.com/audios293452020) под названием «банда москвы-формат 18», начинающаяся словами: «что есть в москве формат - никто не виноват!» и заканчивающаяся словами «когда крылья расправит русский нацизм!» ("
3695,"аудиозапись, размещенная в информационно-телекоммуникационной сети интернет на личной странице пользователя под псевдонимом «денис нетолерантный» по адресу https: //vk.com/id293452020 в разделе «аудиозаписи» (https: //vk.com/audios293452020) под названием «деберман-ой скинхед», начинающаяся словами: «сколько смерти окрестили камикадзе из чертей» и заканчивающаяся словами: «ой скинхед, ой скинхед, ой скинхед, шагом роа!» ("
3696,"аудиозапись, размещенная в информационно-телекоммуникационной сети интернет на личной странице пользователя под псевдонимом «денис нетолерантный» по адресу https: //vk.com/id293452020 в разделе «аудиозаписи» (https: //vk.com/audios293452020) под названием «ф. волков - бритоголовые идут, а много ли их», начинающаяся словами: «есть фашисты в италии, и в германии есть» и заканчивающаяся словами: «кинь в могилку монетки с российским гербом!!!!!» ("
3697,"аудиозапись, размещенная в информационно-телекоммуникационной сети интернет на личной странице пользователя под псевдонимом «денис нетолерантный» по адресу https: //vk.com/id293452020 в разделе «аудиозаписи» (https: //vk.com/audios293452020) под названием «стрелы лука - бей чертей», начинающаяся словами: «черные люди в нашей стране» и заканчивающаяся словами: «убей всех чертей, бей чертей» ("
3698,видеоролик «как чеченцы воспитывают своих детей размещенный в информационно-телекоммуникационной сети «интернет» http://video.mail.ru/mail/mini.boi/_myvideo/33.html#page=/mail/mini_boi/_myvideo /33.html (
3699,видеоролик «как чеченцы воспитывают своих детей размещенный в информационно-телекоммуникационной сети «интернет» http:/www.youtube.com/watch?feature =player_embedded&v=utixg0dkid8 (
3700,"видеоролик «русское лото 18 из 1488», размещенный в информационно - коммуникационной сети «интернет» на интернет-странице https//vk.com/id10845495 ("
3701,"видеоролик «ф. волков - бритоголовые идут», размещенный в информационно - коммуникационной сети «интернет» на интернет-странице https//vk.com/id10845495 ("
3702,"запись, размещенная на странице в сети интернет на «форуме свободных русских» в теме «багиров о русских» по адресу http://forum.dpni.org/showthread.php?t=40961 ("
3703,аудиозапись «аргентина – секс драка (полная версия) 3:54» (
3704,"видеоролик с названием «последняя речь гитлера 30 января 1945 года» продолжительностью 5 минут 32 секунды, восхваляющий нацизм и лично адольфа гитлера, оправдывающий идею расового превосходства и нетерпимости по национальным признакам, оправдывающий нацистскую идеологию, размещенный на видео-сайте youtube (https://www.youtube.com/watch?v=ygglxocugru) ("
3705,"книга под редакцией костоева х.а. «осетинская чума на исторической родине ингушей», назрань, 2012, 228 страниц ("
3706,"печатное издание (книга) саида бин али бин вахф аль-кахтани «крепость мусульманина. обращения к аллаху с мольбами. лечение с помощью заговоров, встречающихся в коране и сунне» (пер. с араб. а.нирша; указ к.кузнецов -3-е изд., стереотип.-м.: умма, 2011. -416 с. ооо «издатель эжаев а.к.») ("
3707,страница пользователя «кузьма булаев» (http://vk.com/id248897420) на веб-сервисе «vk.com» (
3708,"интернет-страница пользователя «надя богданова» http://www/odnoklassniki/ru/ profile/557437117818, расположенная на веб-сервисе «одноклассники» http://odnoklassniki.ru/ ("
3709,"интернет-страница пользователя «злой бандеровец» http://www/odnoklassniki/ ru/profile/550377907192, расположенная на веб-сервисе «одноклассники» http://odnoklassniki.ru/ ("
3710,"видеозапись «obe 1 kanobe – hip hop ist krieg» на указателях страниц сайтов https://vk.com/videos41747513?section=all&z=video162098324_ 170943451%2falbum41747513%2fpl_41747513, https://vk.com/video65105559_170861207, https://vk.com/video-33448534_171129783?list=d5ef616b4ea5dl5ald, https://youtube.com/watch?v=froydwtwlcg, http://truba.com/video/434263, продолжительностью 04 минуты 37 секунд, a также текст, содержащийся в данной видеозаписи ("
3711,"комбинированный рисунок с изображением а. гитлера с текстом «жги в зародыше. советчик ...психолог», обнаруженный в информационно - телекоммуникационной сети интернет ("
3712,"фотография стоящего на одной ноге горящего человека и стоящего с ним рядом человек с черной маской на лице с текстом «вот так .... танцующий лезгинку», обнаруженная в информационно - телекоммуникационной сети интернет ("
3713,"фотография с изображением малолетней девочки славянской внешности с текстом «убей .... ребенка», обнаруженная в информационно - телекоммуникационной сети интернет ("
3714,"фотография нанесенной на заборе надписи «руби ...», обнаруженная в информационно - телекоммуникационной сети интернет ("
3715,"рисунок с изображением мужчин в вагоне электропоезда ... наносящих удары с текстом: «смерть ...», обнаруженный в информационно - телекоммуникационной сети интернет ("
3716,"комбинированный рисунок с изображением ножа с надписью: «пора .... ! ...! режь ...!», обнаруженный в информационно - телекоммуникационной сети интернет ("
3717,"фотография трех смеющихся мужчин одетых в военную форму нацистской германии с текстом «а он ... «евреи ...», обнаруженная в информационно - телекоммуникационной сети интернет ("
3718,"изображение лица улыбающегося человека не славянской внешности с текстом «чурок ... день и тогда... они уедут ...», обнаруженное в информационно - телекоммуникационной сети интернет ("
3719,"изображение нацисткой атрибутики, с текстом: «лайк .... хач репост .... жид», обнаруженное в информационно - телекоммуникационной сети интернет ("
3720,"фотография с изображением человека с опущенным вниз лицом и поднятыми вверх руками стоящего на фоне большого количества людей с текстом «славяне! объединяйтесь!! ...мочите ...!», обнаруженная в информационно - телекоммуникационной сети интернет ("
3721,"фотография лица малолетней девочки с текстом «убей ... детей!!!», обнаруженная в информационно - телекоммуникационной сети интернет ("
3722,"фотография с изображением мужчины, закрывающего клетку, в которой сидит мужчина не славянской внешности с текстом «чурка ... место», обнаруженная в информационно - телекоммуникационной сети интернет ("
3723,"фотография улыбающегося темноволосого мальчика на фоне деревянного дома с текстом «... цыган ...», обнаруженная в информационно - телекоммуникационной сети интернет ("
3724,"текст начинающийся словами: «читаааа:)))) населённый пункт имеющий статус города... и заканчивающийся словами ... моему душевного центра славянского рода,киева))), обнаруженный в информационно - телекоммуникационной сети интернет ("
3725,"текст начинающийся словами: «твари которые не заслуживают ... и заканчивающиеся словами ..., без побочного влияния жидолибералънойинфекции, раковойопухоли, унтерменшей, обнаруженный в информационно - телекоммуникационной сети интернет ("
3726,"текст начинающийся словами «как же я ненавижу.... и заканчивающийся словами .... я их призераю и ненавижу.», обнаруженный в информационно - телекоммуникационной сети интернет ("
3727,"текст начинающийся словами: «рузкие это нация свиней и заканчивающийся словами .... и как то остаиватъ свои гражданские права», обнаруженный в информационно - телекоммуникационной сети интернет ("
3728,"текст начинающейся словами «русские это не русичи ... и заканчивающийся словами .... которые вызывают у них аллергию», обнаруженный в информационно - телекоммуникационной сети интернет ("
3729,"сведения об интернет-странице пользователя социальной сети « » под именем « antonie vagabondul», имеющей электронный адрес: http://vk.com/id145724070 и информация, размещенная на данной странице (включая нацистскую символику: белый равносторонний крест с кольцом на черном круге в сопровождении надписи «white pride / world wide») ("
3730,"сведения об интернет-странице пользователя социальной сети « » под именем « antonie vagabondul», имеющей электронный адрес: http://vk.com/id145724070 и информация, размещенная на данной странице (включая фотографию связки ключей с брелком, который содержит изображение фрагмента государственного военно-морского флага германии 1933-45 гг.) ("
